"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 18:18:05 GMT 2023","Thu Apr 20 18:18:06 GMT 2023","1072","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.2 ",""
"passed","Thu Apr 20 18:18:04 GMT 2023","Thu Apr 20 18:18:05 GMT 2023","1169","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.1 ",""
"passed","Thu Apr 20 18:18:07 GMT 2023","Thu Apr 20 18:18:08 GMT 2023","1084","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.4 ",""
"passed","Thu Apr 20 18:18:01 GMT 2023","Thu Apr 20 18:18:04 GMT 2023","2473","","","","","","Verify the calculator displays correct results for male using Mifflin St Jeor formula.",""
"passed","Thu Apr 20 18:18:06 GMT 2023","Thu Apr 20 18:18:07 GMT 2023","1188","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.3 ",""
