"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 18:24:14 GMT 2023","Thu Apr 20 18:24:15 GMT 2023","762","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.2 ",""
"passed","Thu Apr 20 18:24:16 GMT 2023","Thu Apr 20 18:24:17 GMT 2023","881","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.4 ",""
"passed","Thu Apr 20 18:24:15 GMT 2023","Thu Apr 20 18:24:16 GMT 2023","790","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.3 ",""
"passed","Thu Apr 20 18:24:12 GMT 2023","Thu Apr 20 18:24:13 GMT 2023","1827","","","","","","Verify the calculator displays correct results for male using Mifflin St Jeor formula.",""
"passed","Thu Apr 20 18:24:13 GMT 2023","Thu Apr 20 18:24:14 GMT 2023","868","","","","","","Verify functinality of carbohydrate calculator age field with boundary values -- @1.1 ",""
